Timestamp,Region,Price,Demand
2018-06-01 14:30:00,QLD1,61.13,5750.86
2018-06-01 15:00:00,TAS1,78.32,1247.59
2018-06-01 15:00:00,QLD1,62.84,5881.42
2018-06-01 15:00:00,NSW1,72.7,8621.67
2018-06-01 15:00:00,SA1,98.71,1226.66
2018-06-01 15:00:00,VIC1,81.89,5386.74
2018-06-01 15:30:00,TAS1,78.33,1268.66
2018-06-01 15:30:00,QLD1,62.06,6053.27
2018-06-01 15:30:00,SA1,91.98,1322.33
2018-06-01 15:30:00,VIC1,79.78,5453.6
2018-06-01 15:30:00,NSW1,70.6,8758.44
2018-06-01 16:00:00,SA1,106.42,1354.48
2018-06-01 16:00:00,QLD1,75.37,6294.57
2018-06-01 16:00:00,NSW1,85.6,9028.99
2018-06-01 16:00:00,VIC1,95.95,5582.8
2018-06-01 16:00:00,TAS1,78.36,1309.85
2018-06-01 16:30:00,VIC1,86.4,5802.09
2018-06-01 16:30:00,TAS1,80.9,1337.89
2018-06-01 16:30:00,SA1,98.16,1417.84
2018-06-01 16:30:00,QLD1,68.67,6551.23
2018-06-01 16:30:00,NSW1,77.61,9377.53
2018-06-01 17:00:00,TAS1,85.83,1407.17
2018-06-01 17:00:00,SA1,116.58,1494.79
2018-06-01 17:00:00,NSW1,91.72,9796.09
2018-06-01 17:00:00,QLD1,82.48,6868.5
2018-06-01 17:00:00,VIC1,100.99,6111
2018-06-01 17:30:00,QLD1,98.13,7185.6
2018-06-01 17:30:00,TAS1,79.5,1478.84
2018-06-01 17:30:00,SA1,142.46,1615.29
2018-06-01 17:30:00,NSW1,112.12,10296.69
2018-06-01 17:30:00,VIC1,120.33,6480.49
2018-06-01 18:00:00,QLD1,224.75,7350.99
2018-06-01 18:00:00,SA1,319.69,1777.7
2018-06-01 18:00:00,NSW1,258.63,10714.9
2018-06-01 18:00:00,TAS1,78.36,1505.22
2018-06-01 18:00:00,VIC1,269.67,6809.67
2018-06-01 18:30:00,QLD1,99.5,7355.33
2018-06-01 18:30:00,SA1,148.45,1881.49
2018-06-01 18:30:00,NSW1,114.03,10622.02
2018-06-01 18:30:00,TAS1,78.36,1509.57
2018-06-01 18:30:00,VIC1,120.28,6793.72
2018-06-01 19:00:00,VIC1,109,6735.14
2018-06-01 19:00:00,TAS1,78.36,1495.88
2018-06-01 19:00:00,SA1,135.28,1893.43
2018-06-01 19:00:00,QLD1,91.22,7371.4
2018-06-01 19:00:00,NSW1,103.31,10486.28
2018-06-01 19:30:00,SA1,124.63,1857.17
2018-06-01 19:30:00,VIC1,100.69,6578.56
2018-06-01 19:30:00,TAS1,78.36,1477.32
2018-06-01 19:30:00,NSW1,94.27,10270.45
2018-06-01 19:30:00,QLD1,84.95,7233.81
2018-06-01 20:00:00,NSW1,100.79,10038.79
2018-06-01 20:00:00,QLD1,91.35,7217.07
2018-06-01 20:00:00,SA1,127.63,1818.62
2018-06-01 20:00:00,TAS1,78.36,1472.06
2018-06-01 20:00:00,VIC1,105.82,6433.75
2018-06-01 20:30:00,QLD1,187.66,7149.05
2018-06-01 20:30:00,SA1,275.28,1802.25
2018-06-01 20:30:00,TAS1,78.36,1454.19
2018-06-01 20:30:00,VIC1,231.75,6326.73
2018-06-01 20:30:00,NSW1,214.15,9875.4
2018-06-01 21:00:00,NSW1,95.66,9670.89
2018-06-01 21:00:00,VIC1,105.14,6170.59
2018-06-01 21:00:00,QLD1,85.31,6963.74
