C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/06/10,04:05:28,0000000295669478,,0000000295669472
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/06/09 04:05:00",1,NSW1,0,75.96002,0,75.96002,0,0,6332.61,-11.46094,4767.28,120,-1685.33,0,,,34,,,,,,,,34.49,,,,,,,,20.99,,,,,,,,245.13,,,,,,,,141.2,,,,,,,,195.62,,,,,,-8.8536,8161.85291,120,6552.91406,6520.2,,12,,,,12,,,,,,,,,,,,,,,,,,,20.24747,20.24747,0,10,10,0,23,23,0,23,23,0,0.03,0.03,0,0.15,0.15,0,0.44,0.44,0,10,10,0
D,DREGION,,2,"2018/06/09 04:05:00",1,QLD1,0,64.29751,0,64.29751,0,0,5277.78,32.6875,6354.33,0,1076.55,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,34,,,,,,,,98.42,,,,,,,,76.42,,,,,,12.83857,9750,240,5271.46387,5306.05,,20,,,,70,,,,,,,,,,,,,,,,,,,20.24747,20.24747,0,10,10,0,23,23,0,23,23,0,0.03,0.03,0,0.15,0.15,0,0.44,0.44,0,10,10,0
D,DREGION,,2,"2018/06/09 04:05:00",1,SA1,0,82.18807,0,82.18807,0,0,1124.61,-0.12685,663.05,0,-461.56,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,83,,,,,,1.53756,2128.052,80,1197.10327,1149.53,,24,,,,0,,,,,,,,,,,,,,,,,,,20.24747,20.24747,0,10,10,0,23,23,0,23,23,0,0.03,0.03,0,0.15,0.15,0,0.44,0.44,0,10,10,0
D,DREGION,,2,"2018/06/09 04:05:00",1,TAS1,0,67.24,0,67.24,0,0,1035.29,1.9455,1171.1,0,135.81,0,,,31.14,,,,,,,,40.2,,,,,,,,40.2,,,,,,,,94.25,,,,,,,,161.42,,,,,,,,0,,,,,,-6.07138,2259.497,0,1040.33887,1036.65,,50,,,,93,,,,,,,,,,,,,,,,,,,20.24747,20.24747,0,10,10,0,23,23,0,23,23,0,0.02,0.02,0,0.05,0.05,0,0.17,0.17,0,3,3,0
D,DREGION,,2,"2018/06/09 04:05:00",1,VIC1,0,69.38851,0,69.38851,0,0,4073.46,4.20703,5158.86,0,1085.4,0,,,187.68,,,,,,,,100,,,,,,,,0,,,,,,,,70,,,,,,,,32,,,,,,,,97,,,,,,1.3033,8724.864,0,4102.47461,4102.19,,14,,,,12,,,,,,,,,,,,,,,,,,,20.24747,20.24747,0,10,10,0,23,23,0,23,23,0,0.03,0.03,0,0.15,0.15,0,0.44,0.44,0,10,10,0
D,DREGION,,2,"2018/06/09 04:10:00",1,NSW1,0,78.9305,0,78.9305,0,0,6324.27,-13.0542,4747.94,120,-1696.33,0,,,34,,,,,,,,27,,,,,,,,4,,,,,,,,220,,,,,,,,125.2,,,,,,,,181.2,,,,,,7.01326,8153.2393,120,6522.38477,6516.1,,13,,,,12.02,,,,,,,,,,,,,,,,,,,20.9,20.9,0,10,10,0,23,23,0,23,23,0,0.02,0.02,0,0.14,0.14,0,0.44,0.44,0,10,10,0
D,DREGION,,2,"2018/06/09 04:10:00",1,QLD1,0,65.43968,0,65.43968,0,0,5269.73,2.92969,6458.29,0,1188.56,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,34,,,,,,,,110.95,,,,,,,,88.95,,,,,,2.40155,9750,240,5298.79785,5304.92,,20,,,,70,,,,,,,,,,,,,,,,,,,20.9,20.9,0,10,10,0,23,23,0,23,23,0,0.02,0.02,0,0.14,0.14,0,0.44,0.44,0,10,10,0
D,DREGION,,2,"2018/06/09 04:10:00",1,SA1,0,87.07342,0,87.07342,0,0,1164.32,-2.40151,661.1,0,-503.22,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,83,,,,,,3.2721,2126.099,80,1191.40674,1193.3,,23,,,,0,,,,,,,,,,,,,,,,,,,20.9,20.9,0,10,10,0,23,23,0,23,23,0,0.02,0.02,0,0.14,0.14,0,0.44,0.44,0,10,10,0
D,DREGION,,2,"2018/06/09 04:10:00",1,TAS1,0,70.12,0,70.12,0,0,1043.99,1.05127,1206.77,0,162.78,0,,,57.4,,,,,,,,66.43,,,,,,,,56.38,,,,,,,,72.16,,,,,,,,164.63,,,,,,,,1.63,,,,,,0,2259.134,0,1044.28967,1046.05,,50,,,,140.49,,,,,,,,,,,,,,,,,,,20.9,20.9,0,10,10,0,23,23,0,23,23,0,0.02,0.02,0,0.05,0.05,0,0.17,0.17,0,3,3,0
D,DREGION,,2,"2018/06/09 04:10:00",1,VIC1,0,72.78063,0,72.78063,0,0,4142.09,4.96338,5159.48,0,1017.4,0,,,165.38,,,,,,,,84.65,,,,,,,,0,,,,,,,,70,,,,,,,,32,,,,,,,,97,,,,,,0,8725.483,0,4166.29932,4173.21,,14,,,,12,,,,,,,,,,,,,,,,,,,20.9,20.9,0,10,10,0,23,23,0,23,23,0,0.02,0.02,0,0.14,0.14,0,0.44,0.44,0,10,10,0
