C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/07/26,04:05:25,0000000297362669,,0000000297362663
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/07/25 04:05:00",1,NSW1,0,52.52,0,52.52,0,0,6645.39,-13.375,5733.44,0,-911.96,0,,,68,,,,,,,,12,,,,,,,,12,,,,,,,,376.16,,,,,,,,256.6,,,,,,,,203.6,,,,,,11.3744,11770.778,0,6664.70166,6659.49,,43,,,,47.01,,,,,,,,,,,,,,,,,,,2,2,0,5.49,5.49,0,9.79,9.79,0,9.79,9.79,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,10,10,0
D,DREGION,,2,"2018/07/25 04:05:00",1,QLD1,0,51.31002,0,51.31002,0,0,5293.13,6.49365,5485.64,0,192.52,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,30,,,,,,,,90,,,,,,,,80.88,,,,,,-0.80492,9564.694,0,5288.35205,5293.68,,10,,,,43.78,,,,,,,,,,,,,,,,,,,2,2,0,5.49,5.49,0,9.79,9.79,0,9.79,9.79,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,10,10,0
D,DREGION,,2,"2018/07/25 04:05:00",1,SA1,0,59.042,0,59.042,0,0,1107.1,-3.49017,1028.96,0,-78.14,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,6.11906,2788.957,80,1119.91443,1118.81,,13,,,,0,,,,,,,,,,,,,,,,,,,2,2,0,5.49,5.49,0,9.79,9.79,0,9.79,9.79,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,10,10,0
D,DREGION,,2,"2018/07/25 04:05:00",1,TAS1,0,17.61763,0,17.61763,0,0,1081.44,0.01404,1502.05,0,420.62,0,,,163.77,,,,,,,,131.9,,,,,,,,22.6,,,,,,,,30,,,,,,,,21.35,,,,,,,,21.35,,,,,,5.46613,2400.855,0,1092.54907,1096.91,,50,,,,39.61,,,,,,,,,,,,,,,,,,,1.45,1.45,0,2.95,2.95,0,7,7,0,7,7,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,4.95,4.95,0
D,DREGION,,2,"2018/07/25 04:05:00",1,VIC1,0,10.5,0,10.5,0,0,4214.36,-0.32324,4670.03,0,455.67,0,,,15,,,,,,,,15,,,,,,,,15,,,,,,,,61,,,,,,,,52.12,,,,,,,,70.24,,,,,,18.16886,8541.47051,0,4242.51221,4251.22,,4,,,,0,,,,,,,,,,,,,,,,,,,2,2,0,5.49,5.49,0,9.79,9.79,0,9.79,9.79,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,10,10,0
D,DREGION,,2,"2018/07/25 04:10:00",1,NSW1,0,52.52,0,52.52,0,0,6735.11,-1.271,5771.39,0,-963.72,0,,,68,,,,,,,,12,,,,,,,,12,,,,,,,,370.52,,,,,,,,254.67,,,,,,,,203.2,,,,,,14.39672,11774.12,0,6740.29492,6751.31,,48,,,,48,,,,,,,,,,,,,,,,,,,2,2,0,5,5,0,9.79,9.79,0,9.79,9.79,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,10,10,0
D,DREGION,,2,"2018/07/25 04:10:00",1,QLD1,0,50.98172,0,50.98172,0,0,5255.94,6.82568,5481.04,0,225.11,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,30,,,,,,,,90,,,,,,,,85.76,,,,,,-10.5343,9564.694,0,5260.55078,5256.77,,10,,,,43.78,,,,,,,,,,,,,,,,,,,2,2,0,5,5,0,9.79,9.79,0,9.79,9.79,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,10,10,0
D,DREGION,,2,"2018/07/25 04:10:00",1,SA1,0,57.49066,0,57.49066,0,0,1093.97,-3.73439,1033.6,0,-60.37,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,4.60011,2793.603,80,1111.95166,1103.11,,8,,,,0,,,,,,,,,,,,,,,,,,,2,2,0,5,5,0,9.79,9.79,0,9.79,9.79,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,10,10,0
D,DREGION,,2,"2018/07/25 04:10:00",1,TAS1,0,18.52664,0,18.52664,0,0,1090.03,-0.03967,1503.51,0,413.49,0,,,168.79,,,,,,,,135.88,,,,,,,,21.28,,,,,,,,30,,,,,,,,27.43,,,,,,,,25,,,,,,4.65943,2401.413,0,1101.19312,1104.98,,50,,,,46.19,,,,,,,,,,,,,,,,,,,2,2,0,2.95,2.95,0,7,7,0,7,7,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,4.95,4.95,0
D,DREGION,,2,"2018/07/25 04:10:00",1,VIC1,0,10.5,0,10.5,0,0,4220.13,-7.65283,4678.97,0,458.84,0,,,15,,,,,,,,15,,,,,,,,15,,,,,,,,61,,,,,,,,48.86,,,,,,,,63,,,,,,16.9149,8545.67271,0,4249.99902,4252.36,,4,,,,0,,,,,,,,,,,,,,,,,,,2,2,0,5,5,0,9.79,9.79,0,9.79,9.79,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,10,10,0
