C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/07/08,04:05:35,0000000296774203,,0000000296774197
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/07/07 04:05:00",1,NSW1,0,48,0,48,0,0,6394.63,6.50879,4804.85,0,-1589.78,0,,,168.03,,,,,,,,95,,,,,,,,50.44,,,,,,,,311.51,,,,,,,,187,,,,,,,,186,,,,,,-11.73339,11629.68516,0,6459.71973,6458.97,,43,,,,31.02,,,,,,,,,,,,,,,,,,,1.75,1.75,0,1.82825,1.82825,0,2.8,2.8,0,9,9,0,0.03,0.03,0,0.17,0.17,0,0.8,0.8,0,16.27825,16.27825,0
D,DREGION,,2,"2018/07/07 04:05:00",1,QLD1,0,44.24183,0,44.24183,0,0,4989.49,50.27417,5489.55,0,500.05,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,14,,,,,,,,51.97,,,,,,,,22,,,,,,5.75261,9804,240,4938.12842,4995.4,,25,,,,59.77,,,,,,,,,,,,,,,,,,,1.75,1.75,0,1.82825,1.82825,0,2.8,2.8,0,9,9,0,0.03,0.03,0,0.17,0.17,0,0.8,0.8,0,16.27825,16.27825,0
D,DREGION,,2,"2018/07/07 04:05:00",1,SA1,0,19.10257,0,19.10257,0,0,1066.99,6.39339,1179.51,10,102.52,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,15,,,,,,,,19,,,,,,,,25,,,,,,22.46665,2888.355,80,1090.18005,1083.55,,0,,,,22,,,,,,,,,,,,,,,,,,,1.75,1.75,0,1.82825,1.82825,0,2.8,2.8,0,9,9,0,0.03,0.03,0,0.17,0.17,0,0.8,0.8,0,16.27825,16.27825,0
D,DREGION,,2,"2018/07/07 04:05:00",1,TAS1,0,63.21,0,63.21,0,0,1003.23,1.36182,1103.88,0,100.65,0,,,0,,,,,,,,3.34,,,,,,,,3.34,,,,,,,,47.11,,,,,,,,56.81,,,,,,,,96.06,,,,,,2.56304,2238.942,0,1000.2594,1003.88,,50,,,,17.22,,,,,,,,,,,,,,,,,,,13.18385,13.18385,0,4.69,4.69,0,20.97,20.97,0,27.17,27.17,0,0.02,0.02,0,0.03,0.03,0,0,0,0,4.55,4.55,0
D,DREGION,,2,"2018/07/07 04:05:00",1,VIC1,0,8.99979,0,8.99979,0,0,3812.97,5.62012,4816.41,0,1003.44,0,,,95,,,,,,,,87.84,,,,,,,,15,,,,,,,,156,,,,,,,,144,,,,,,,,129.72,,,,,,-2.71576,9738.58905,0,3860.01904,3852.38,,2,,,,0,,,,,,,,,,,,,,,,,,,1.75,1.75,0,1.82825,1.82825,0,2.8,2.8,0,9,9,0,0.03,0.03,0,0.17,0.17,0,0.8,0.8,0,16.27825,16.27825,0
D,DREGION,,2,"2018/07/07 04:05:00",1,NSW1,1,48,0,48,0,0,6394.63,6.50879,4843.74,0,-1550.89,0,,,156.66,,,,,,,,95,,,,,,,,40.81,,,,,,,,321,,,,,,,,223.06,,,,,,,,200.13,,,,,,-11.73339,11629.68516,0,6459.71973,6459.22,,43,,,,58.44,,,,,,,,,,,,,,,,,,,2.8,2.8,0,5,5,0,8,8,0,28.98,28.98,0,0.03,0.03,0,0.17,0.17,0,0.8,0.8,0,18,18,0
D,DREGION,,2,"2018/07/07 04:05:00",1,QLD1,1,44.96139,0,44.96139,0,0,4989.49,50.27417,5407.53,0,418.04,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,19,,,,,,,,36,,,,,,,,13.67,,,,,,5.75261,9804,240,4938.12842,4993.51,,23,,,,15,,,,,,,,,,,,,,,,,,,2.8,2.8,0,5,5,0,8,8,0,28.98,28.98,0,0.03,0.03,0,0.17,0.17,0,0.8,0.8,0,18,18,0
D,DREGION,,2,"2018/07/07 04:05:00",1,SA1,1,8.29842,0,8.29842,0,0,1066.99,6.39339,1335.11,9.9,258.23,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,38.92,,,,,,,,19,,,,,,,,30,,,,,,22.46665,2888.355,80,1090.18005,1089.37,,0,,,,22,,,,,,,,,,,,,,,,,,,2.8,2.8,0,5,5,0,8,8,0,28.98,28.98,0,0.03,0.03,0,0.17,0.17,0,0.8,0.8,0,18,18,0
D,DREGION,,2,"2018/07/07 04:05:00",1,TAS1,1,63.21,0,63.21,0,0,1003.23,1.36182,1113.68,0,110.45,0,,,6.13,,,,,,,,12.97,,,,,,,,12.97,,,,,,,,24.55,,,,,,,,50.57,,,,,,,,82.84,,,,,,2.56304,2238.942,0,1000.2594,1004.05,,50,,,,30.56,,,,,,,,,,,,,,,,,,,5,5,0,13.72667,13.72667,0,51.96638,51.96638,0,72.94638,72.94638,0,0.02,0.02,0,0.03,0.03,0,0.04,0.04,0,4.55,4.55,0
D,DREGION,,2,"2018/07/07 04:05:00",1,VIC1,1,23.52692,0,23.52692,0,0,3812.97,5.62012,4712.87,0,899.9,0,,,96.75,,,,,,,,78.21,,,,,,,,15,,,,,,,,141,,,,,,,,131,,,,,,,,133,,,,,,-2.71576,9738.58905,0,3860.01904,3866.76,,4,,,,4,,,,,,,,,,,,,,,,,,,2.8,2.8,0,5,5,0,8,8,0,28.98,28.98,0,0.03,0.03,0,0.17,0.17,0,0.8,0.8,0,18,18,0
