C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/10/28,04:05:26,0000000300509840,,0000000300509834
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/10/27 04:05:00",1,NSW1,0,54.36197,0,54.36197,0,0,6085.83,3.5791,5991.7,394,-488.13,0,,,74,,,,,,,,62,,,,,,,,54,,,,,,,,298,,,,,,,,97.6,,,,,,,,97.6,,,,,,0,10315.073,394,6546.3999,6502.59,,63,,,,27.02,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,9,9,0,9,9,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,21.52003,21.52003,0
D,DREGION,,2,"2018/10/27 04:05:00",1,QLD1,0,48.95,0,48.95,0,0,5089.36,23.32471,5741.17,0,651.81,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,44,,,,,,,,196.58,,,,,,,,161.69,,,,,,2.08918,9879.478,0,5076.95703,5099.53,,85.46,,,,124.66,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,9,9,0,9,9,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,21.52003,21.52003,0
D,DREGION,,2,"2018/10/27 04:05:00",1,SA1,0,61.79391,0,61.79391,0,0,1011.25,1.83345,663.07,0,-348.18,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2041.072,80,1018.64374,1015.89,,0,,,,0,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,9,9,0,9,9,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,21.52003,21.52003,0
D,DREGION,,2,"2018/10/27 04:05:00",1,TAS1,0,57.4348,0,57.4348,0,0,970.28,1.74734,736.97,0,-233.31,0,,,66.12,,,,,,,,92.95,,,,,,,,19.75,,,,,,,,57.61,,,,,,,,160.51,,,,,,,,128.41,,,,,,0.36624,2098.131,0,968.16498,970.28,,0,,,,30,,,,,,,,,,,,,,,,,,,9.95,9.95,0,4.95,4.95,0,14.4,14.4,0,14.4,14.4,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,0.19,0.19,0
D,DREGION,,2,"2018/10/27 04:05:00",1,VIC1,0,55.54066,0,55.54066,0,0,3538.87,3.75415,4012.7,0,473.83,0,,,85.6,,,,,,,,40,,,,,,,,0,,,,,,,,53,,,,,,,,13,,,,,,,,15,,,,,,0,7408.701,0,3555.7124,3557.32,,10,,,,1,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,9,9,0,9,9,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,21.52003,21.52003,0
D,DREGION,,2,"2018/10/27 04:10:00",1,NSW1,0,59.51964,0,59.51964,0,0,6122.82,14.55273,6022.85,394,-493.97,0,,,74,,,,,,,,62,,,,,,,,54,,,,,,,,298,,,,,,,,97.6,,,,,,,,97.6,,,,,,0,10319.929,394,6526.43506,6539.57,,40.84,,,,27.02,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,9,9,0,9,9,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,14.00053,14.00053,0
D,DREGION,,2,"2018/10/27 04:10:00",1,QLD1,0,53.61387,0,53.61387,0,0,5160.4,16.71631,5814.5,0,654.1,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,44,,,,,,,,195.63,,,,,,,,163.1,,,,,,0,9883.686,0,5155.29785,5170.59,,58.16,,,,124.59,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,9,9,0,9,9,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,14.00053,14.00053,0
D,DREGION,,2,"2018/10/27 04:10:00",1,SA1,0,68.34921,0,68.34921,0,0,1033.1,4.63326,659,0,-374.1,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2037.002,80,1034.22083,1038.4,,0,,,,0,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,9,9,0,9,9,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,14.00053,14.00053,0
D,DREGION,,2,"2018/10/27 04:10:00",1,TAS1,0,62.89723,0,62.89723,0,0,967.23,0.88937,735.33,0,-231.9,0,,,66.12,,,,,,,,92.78,,,,,,,,18.48,,,,,,,,56.21,,,,,,,,155.79,,,,,,,,124.63,,,,,,0.59828,2098.114,0,965.74628,967.23,,50,,,,30,,,,,,,,,,,,,,,,,,,9.95,9.95,0,4.95,4.95,0,14.4,14.4,0,14.4,14.4,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,13.9,13.9,0
D,DREGION,,2,"2018/10/27 04:10:00",1,VIC1,0,60.82202,0,60.82202,0,0,3539.67,-2.82373,4044.47,0,504.8,0,,,94.78,,,,,,,,40,,,,,,,,0,,,,,,,,53,,,,,,,,13,,,,,,,,15,,,,,,0.85774,7424.471,0,3563.1521,3560.37,,1,,,,1,,,,,,,,,,,,,,,,,,,0.01,0.01,0,0.01,0.01,0,9,9,0,9,9,0,0.03,0.03,0,0.12,0.12,0,0.19,0.19,0,14.00053,14.00053,0
