C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/08/12,04:05:01,0000000297936513,,0000000297936507
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/08/11 04:05:00",1,NSW1,0,63.01,0,63.01,0,0,6415.63,-11.4624,5243.38,0,-1172.25,0,,,51.55,,,,,,,,10,,,,,,,,46.81,,,,,,,,303.77,,,,,,,,160.1,,,,,,,,151.1,,,,,,0,10255.24374,0,6466.39844,6456.67,,82,,,,32.03,,,,,,,,,,,,,,,,,,,2.78,2.78,0,3,3,0,9.79,9.79,0,20.44699,20.44699,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,42.27,42.27,0
D,DREGION,,2,"2018/08/11 04:05:00",1,QLD1,0,61.88384,0,61.88384,0,0,5183.56,34.09766,5314.83,0,131.27,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,34,,,,,,,,128.02,,,,,,,,110,,,,,,0,9407.68085,240,5150.02783,5183.72,,95.95,,,,73.97,,,,,,,,,,,,,,,,,,,2.78,2.78,0,3,3,0,9.79,9.79,0,20.44699,20.44699,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,42.27,42.27,0
D,DREGION,,2,"2018/08/11 04:05:00",1,SA1,0,23.08205,0,23.08205,0,0,1047.36,-0.50459,1234.77,0,187.41,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2618.773,80,1059.64221,1057.55,,40,,,,0,,,,,,,,,,,,,,,,,,,2.78,2.78,0,3,3,0,9.79,9.79,0,20.44699,20.44699,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,42.27,42.27,0
D,DREGION,,2,"2018/08/11 04:05:00",1,TAS1,0,14.16157,0,14.16157,0,0,1127.29,2.87549,1579.84,0,452.55,0,,,50,,,,,,,,137.32,,,,,,,,0,,,,,,,,20,,,,,,,,0,,,,,,,,0,,,,,,-3.67746,2431.167,0,1145.81104,1145.22,,50,,,,20,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4.08433,4.08433,0,14.74132,14.74132,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,0.07,0.07,0
D,DREGION,,2,"2018/08/11 04:05:00",1,VIC1,0,9,0,9,0,0,3986.81,-19.44312,4503.99,0,517.18,0,,,15,,,,,,,,38.95,,,,,,,,15,,,,,,,,143,,,,,,,,150,,,,,,,,133.02,,,,,,0,8584.351,0,4054.76318,4033.64,,0,,,,4,,,,,,,,,,,,,,,,,,,2.78,2.78,0,3,3,0,9.79,9.79,0,20.44699,20.44699,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,42.27,42.27,0
D,DREGION,,2,"2018/08/11 04:05:00",1,NSW1,1,56.58676,0,56.58676,0,0,6415.63,-11.4624,5196.47,0,-1219.16,0,,,51.55,,,,,,,,10,,,,,,,,46.81,,,,,,,,304.58,,,,,,,,166.53,,,,,,,,177.53,,,,,,0,10255.24374,0,6466.39844,6458.72,,81,,,,39,,,,,,,,,,,,,,,,,,,4.99,4.99,0,4.99,4.99,0,9.79,9.79,0,10.04,10.04,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,42.27,42.27,0
D,DREGION,,2,"2018/08/11 04:05:00",1,QLD1,1,55.29093,0,55.29093,0,0,5183.56,34.09766,5345.88,0,162.32,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,29,,,,,,,,156.4,,,,,,,,112.4,,,,,,0,9407.68085,240,5150.02783,5183.92,,96.95,,,,68.25,,,,,,,,,,,,,,,,,,,4.99,4.99,0,4.99,4.99,0,9.79,9.79,0,10.04,10.04,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,42.27,42.27,0
D,DREGION,,2,"2018/08/11 04:05:00",1,SA1,1,21.21447,0,21.21447,0,0,1047.36,-0.50459,1274.77,0,227.41,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2618.773,80,1059.64221,1060.26,,40,,,,0,,,,,,,,,,,,,,,,,,,4.99,4.99,0,4.99,4.99,0,9.79,9.79,0,10.04,10.04,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,42.27,42.27,0
D,DREGION,,2,"2018/08/11 04:05:00",1,TAS1,1,14.16157,0,14.16157,0,0,1127.29,2.87549,1574.07,0,446.78,0,,,50,,,,,,,,125.21,,,,,,,,0,,,,,,,,25.31,,,,,,,,0,,,,,,,,0,,,,,,-3.67746,2431.167,0,1145.81104,1144.76,,50,,,,20,,,,,,,,,,,,,,,,,,,0.49,0.49,0,1.19202,1.19202,0,8.9,8.9,0,9.15,9.15,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,0.07,0.07,0
D,DREGION,,2,"2018/08/11 04:05:00",1,VIC1,1,9,0,9,0,0,3986.81,-19.44312,4496.35,0,509.54,0,,,15,,,,,,,,51.06,,,,,,,,15,,,,,,,,143,,,,,,,,111,,,,,,,,100,,,,,,0,8584.351,0,4054.76318,4039.88,,0,,,,2.75,,,,,,,,,,,,,,,,,,,4.99,4.99,0,4.99,4.99,0,9.79,9.79,0,10.04,10.04,0,0.03,0.03,0,0.06,0.06,0,0.07,0.07,0,42.27,42.27,0
