C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/08/08,04:05:30,0000000297801947,,0000000297801941
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/08/07 04:05:00",1,NSW1,0,24.41158,0,24.41158,0,0,6683.99,-15.15088,6057.07,80,-706.92,0,,,104,,,,,,,,15,,,,,,,,0,,,,,,,,331,,,,,,,,212.3,,,,,,,,208.3,,,,,,-1.99615,10582.33,80,6813.35742,6781.37,,32.27,,,,56,,,,,,,,,,,,,,,,,,,9.7,9.7,0,9.5,9.5,0,8.99,8.99,0,16.42,16.42,0,0,0,0,0.07,0.07,0,0.8,0.8,0,10,10,0
D,DREGION,,2,"2018/08/07 04:05:00",1,QLD1,0,24.83012,0,24.83012,0,0,5171.5,24.26514,5126.84,0,-44.66,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,34,,,,,,,,146.42,,,,,,,,120.42,,,,,,-0.42962,9553.81475,240,5388.76807,5171.28,,0,,,,60,,,,,,,,,,,,,,,,,,,9.7,9.7,0,9.5,9.5,0,8.99,8.99,0,16.42,16.42,0,0,0,0,0.07,0.07,0,0.8,0.8,0,10,10,0
D,DREGION,,2,"2018/08/07 04:05:00",1,SA1,0,-999.99887,0,-999.99887,0,0,1042.79,-11.67149,1318.3,0,275.51,0,,,40,,,,,,,,19,,,,,,,,32.47,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2895.102,0,1083.56873,1045.51,,37.73,,,,10,,,,,,,,,,,,,,,,,,,9.7,9.7,0,9.5,9.5,0,8.99,8.99,0,16.42,16.42,0,0,0,0,0.07,0.07,0,0.8,0.8,0,10,10,0
D,DREGION,,2,"2018/08/07 04:05:00",1,TAS1,0,20.07251,0,20.07251,0,0,1053.52,1.9216,1538.78,0,485.26,0,,,106.74,,,,,,,,121.36,,,,,,,,57.99,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,2.92603,2483.078,0,1069.73572,1074.14,,50,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.07,0.07,0,0.8,0.8,0,9.27259,9.27259,0
D,DREGION,,2,"2018/08/07 04:05:00",1,VIC1,0,22.28816,0,22.28816,0,0,4047.85,5.02539,4104.01,0,56.16,0,,,47.61,,,,,,,,35,,,,,,,,0,,,,,,,,136.22,,,,,,,,113,,,,,,,,99,,,,,,0.65325,9036.85977,0,4089.43042,4072.7,,0,,,,4,,,,,,,,,,,,,,,,,,,9.7,9.7,0,9.5,9.5,0,8.99,8.99,0,16.42,16.42,0,0,0,0,0.07,0.07,0,0.8,0.8,0,10,10,0
D,DREGION,,2,"2018/08/07 04:05:00",1,NSW1,1,27.72418,0,27.72418,0,0,6683.99,-15.15088,5960.45,80,-803.54,0,,,128.08,,,,,,,,15,,,,,,,,26.84,,,,,,,,329.28,,,,,,,,195.2,,,,,,,,187.2,,,,,,-1.99615,10582.33,80,6813.35742,6787.13,,32.27,,,,56,,,,,,,,,,,,,,,,,,,5.97508,5.97508,0,5,5,0,9.79,9.79,0,16.44508,16.44508,0,0.03,0.03,0,0.06,0.06,0,2,2,0,10.49941,10.49941,0
D,DREGION,,2,"2018/08/07 04:05:00",1,QLD1,1,28.01718,0,28.01718,0,0,5171.5,24.26514,5142.49,0,-29,0,,,5,,,,,,,,0,,,,,,,,0,,,,,,,,34,,,,,,,,133,,,,,,,,107,,,,,,-0.42962,9553.81475,240,5388.76807,5171.4,,0,,,,60,,,,,,,,,,,,,,,,,,,5.97508,5.97508,0,5,5,0,9.79,9.79,0,16.44508,16.44508,0,0.03,0.03,0,0.06,0.06,0,2,2,0,10.49941,10.49941,0
D,DREGION,,2,"2018/08/07 04:05:00",1,SA1,1,-999.99907,0,-999.99907,0,0,1042.79,-11.67149,1467.05,0,424.26,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2895.102,0,1083.56873,1056.5,,40,,,,10,,,,,,,,,,,,,,,,,,,5.97508,5.97508,0,5,5,0,9.79,9.79,0,16.44508,16.44508,0,0.03,0.03,0,0.06,0.06,0,2,2,0,10.49941,10.49941,0
D,DREGION,,2,"2018/08/07 04:05:00",1,TAS1,1,12.56059,0,12.56059,0,0,1053.52,1.9216,1507.7,0,454.18,0,,,70.27,,,,,,,,124.99,,,,,,,,18.62,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,2.92603,2483.078,0,1069.73572,1071.44,,47.73,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,9.79,9.79,0,16.44508,16.44508,0,0.03,0.03,0,0.06,0.06,0,2,2,0,10.49941,10.49941,0
D,DREGION,,2,"2018/08/07 04:05:00",1,VIC1,1,25.14003,0,25.14003,0,0,4047.85,5.02539,4105.92,0,58.07,0,,,55,,,,,,,,31.83,,,,,,,,5,,,,,,,,137,,,,,,,,104,,,,,,,,94,,,,,,0.65325,9036.85977,0,4089.43042,4097.15,,0,,,,4,,,,,,,,,,,,,,,,,,,5.97508,5.97508,0,5,5,0,9.79,9.79,0,16.44508,16.44508,0,0.03,0.03,0,0.06,0.06,0,2,2,0,10.49941,10.49941,0
