C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/07/14,04:05:23,0000000296970610,,0000000296970604
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/07/13 04:05:00",1,NSW1,0,58,0,58,0,0,7296.79,-22.45508,6394.87,40,-941.91,0,,,94,,,,,,,,14,,,,,,,,12,,,,,,,,353,,,,,,,,193.6,,,,,,,,184.6,,,,,,0,11323.31373,40,7389.95459,7356.95,,67,,,,35.42,,,,,,,,,,,,,,,,,,,2.6,2.6,0,2.9,2.9,0,9.06,9.06,0,9.06,9.06,0,0.02,0.02,0,0.06,0.06,0,0.07,0.07,0,6.67248,6.67248,0
D,DREGION,,2,"2018/07/13 04:05:00",1,QLD1,0,52.04768,0,52.04768,0,0,5152.96,37.3562,5827.6,0,674.64,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,35,,,,,,,,59,,,,,,,,71.52,,,,,,0,9954,240,5130.05078,5163.31,,3,,,,82.48,,,,,,,,,,,,,,,,,,,2.6,2.6,0,2.9,2.9,0,9.06,9.06,0,9.06,9.06,0,0.02,0.02,0,0.06,0.06,0,0.07,0.07,0,6.67248,6.67248,0
D,DREGION,,2,"2018/07/13 04:05:00",1,SA1,0,147.99992,0,147.99992,0,0,1271.91,7.80468,1078.36,40,-233.55,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2784.776,80,1316.22339,1328.05,,0,,,,0,,,,,,,,,,,,,,,,,,,2.6,2.6,0,2.9,2.9,0,9.06,9.06,0,9.06,9.06,0,0.02,0.02,0,0.06,0.06,0,0.07,0.07,0,6.67248,6.67248,0
D,DREGION,,2,"2018/07/13 04:05:00",1,TAS1,0,54.17,0,54.17,0,0,1212.32,1.12561,1424,0,211.68,0,,,104.16,,,,,,,,106.84,,,,,,,,7.8,,,,,,,,30,,,,,,,,101.95,,,,,,,,40.77,,,,,,0,2238.869,0,1216.75476,1216,,50,,,,21,,,,,,,,,,,,,,,,,,,2.6,2.6,0,2.9,2.9,0,9.06,9.06,0,9.06,9.06,0,0.02,0.02,0,0.03,0.03,0,0.04,0.04,0,4.6,4.6,0
D,DREGION,,2,"2018/07/13 04:05:00",1,VIC1,0,57.18129,0,57.18129,0,0,4470.32,-2.45068,4845.16,0,374.84,0,,,45.79,,,,,,,,25.42,,,,,,,,15,,,,,,,,66,,,,,,,,51,,,,,,,,64.67,,,,,,0,8454.156,0,4509.67432,4505.68,,0,,,,0,,,,,,,,,,,,,,,,,,,2.6,2.6,0,2.9,2.9,0,9.06,9.06,0,9.06,9.06,0,0.02,0.02,0,0.06,0.06,0,0.07,0.07,0,6.67248,6.67248,0
D,DREGION,,2,"2018/07/13 04:10:00",1,NSW1,0,58,0,58,0,0,7310.07,-10.80615,6435.6,40,-914.47,0,,,108,,,,,,,,14,,,,,,,,12,,,,,,,,367,,,,,,,,204.6,,,,,,,,195.6,,,,,,1.41406,11317.76307,40,7385.73682,7368.45,,70,,,,35.5,,,,,,,,,,,,,,,,,,,2.54,2.54,0,2,2,0,9,9,0,9,9,0,0.02,0.02,0,0.06,0.06,0,0.07,0.07,0,4,4,0
D,DREGION,,2,"2018/07/13 04:10:00",1,QLD1,0,52.40934,0,52.40934,0,0,5175.04,3.00781,5825.68,0,650.65,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,35,,,,,,,,59,,,,,,,,79.54,,,,,,0,9954,240,5184.54834,5184.58,,0,,,,72.08,,,,,,,,,,,,,,,,,,,2.54,2.54,0,2,2,0,9,9,0,9,9,0,0.02,0.02,0,0.06,0.06,0,0.07,0.07,0,4,4,0
D,DREGION,,2,"2018/07/13 04:10:00",1,SA1,0,134.99,0,134.99,0,0,1269.37,11.79418,1077.83,40,-231.54,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2784.529,80,1313.88208,1325.5,,0,,,,0,,,,,,,,,,,,,,,,,,,2.54,2.54,0,2,2,0,9,9,0,9,9,0,0.02,0.02,0,0.06,0.06,0,0.07,0.07,0,4,4,0
D,DREGION,,2,"2018/07/13 04:10:00",1,TAS1,0,54.17,0,54.17,0,0,1207.64,1.26428,1419.32,0,211.68,0,,,104.17,,,,,,,,106.88,,,,,,,,7.21,,,,,,,,28.58,,,,,,,,100,,,,,,,,25,,,,,,-5.57395,2239.988,0,1216.28503,1211.32,,50,,,,22.42,,,,,,,,,,,,,,,,,,,2.54,2.54,0,2,2,0,9,9,0,9,9,0,0.02,0.02,0,0.03,0.03,0,0.04,0.04,0,3.97,3.97,0
D,DREGION,,2,"2018/07/13 04:10:00",1,VIC1,0,57.18575,0,57.18575,0,0,4475.19,-13.31543,4841.93,0,366.73,0,,,31.6,,,,,,,,24.8,,,,,,,,15,,,,,,,,66,,,,,,,,45.21,,,,,,,,64.67,,,,,,0,8450.929,0,4524.76855,4510.51,,0,,,,0,,,,,,,,,,,,,,,,,,,2.54,2.54,0,2,2,0,9,9,0,9,9,0,0.02,0.02,0,0.06,0.06,0,0.07,0.07,0,4,4,0
