C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/10/09,04:05:02,0000000299863932,,0000000299863926
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/10/08 04:05:00",1,NSW1,0,55.56317,0,55.56317,0,0,6170.78,26.97314,5408.76,387,-1149.03,0,,,74,,,,,,,,61,,,,,,,,53.98,,,,,,,,304,,,,,,,,158,,,,,,,,145.54,,,,,,0,10050.60687,387,6556.88086,6592.46,,29.28,,,,20,,,,,,,,,,,,,,,,,,,1.75,1.75,0,2,2,0,13.72,13.72,0,13.72,13.72,0,0.03,0.03,0,0.12,0.12,0,0.43,0.43,0,14.95,14.95,0
D,DREGION,,2,"2018/10/08 04:05:00",1,QLD1,0,48.98,0,48.98,0,0,5025.67,24.08984,5800.26,0,774.59,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,54,,,,,,,,155.78,,,,,,,,131.78,,,,,,0,9617.366,0,5251.9292,5040.03,,6.04,,,,125.02,,,,,,,,,,,,,,,,,,,1.75,1.75,0,2,2,0,13.72,13.72,0,13.72,13.72,0,0.03,0.03,0,0.12,0.12,0,0.43,0.43,0,14.95,14.95,0
D,DREGION,,2,"2018/10/08 04:05:00",1,SA1,0,47.62355,0,47.62355,0,0,1108.31,-1.79815,1549.46,0,441.15,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,20.35754,2961.46,80,1103.34863,1119.14,,40,,,,0,,,,,,,,,,,,,,,,,,,1.75,1.75,0,2,2,0,13.72,13.72,0,13.72,13.72,0,0.03,0.03,0,0.12,0.12,0,0.43,0.43,0,14.95,14.95,0
D,DREGION,,2,"2018/10/08 04:05:00",1,TAS1,0,55.64071,0,55.64071,0,0,987.99,1.54465,714.4,0,-273.59,0,,,60.81,,,,,,,,67.94,,,,,,,,0,,,,,,,,43.82,,,,,,,,75.97,,,,,,,,60.78,,,,,,7.78248,1928.24,0,978.66162,987.99,,44.69,,,,20,,,,,,,,,,,,,,,,,,,96.08284,96.08284,0,4.95,4.95,0,13.72,13.72,0,13.72,13.72,0,0.03,0.03,0,0.12,0.12,0,0.43,0.43,0,14.95,14.95,0
D,DREGION,,2,"2018/10/08 04:05:00",1,VIC1,0,53.24886,0,53.24886,0,0,3809.8,9.55176,4110.22,0,300.42,0,,,120,,,,,,,,50,,,,,,,,10,,,,,,,,63,,,,,,,,46.35,,,,,,,,54,,,,,,0,7808.22277,0,3838.90454,3843.49,,0,,,,2,,,,,,,,,,,,,,,,,,,1.75,1.75,0,2,2,0,13.72,13.72,0,13.72,13.72,0,0.03,0.03,0,0.12,0.12,0,0.43,0.43,0,14.95,14.95,0
D,DREGION,,2,"2018/10/08 04:10:00",1,NSW1,0,59.52,0,59.52,0,0,6228.8,28.24854,5472.12,387,-1143.68,0,,,74,,,,,,,,61,,,,,,,,50.63,,,,,,,,304,,,,,,,,158,,,,,,,,152.22,,,,,,-5.80125,10048.3605,387,6643.37549,6657.72,,30,,,,22.58,,,,,,,,,,,,,,,,,,,2,2,0,2.12627,2.12627,0,14,14,0,14,14,0,0.03,0.03,0,0.12,0.12,0,0.2,0.2,0,14.9,14.9,0
D,DREGION,,2,"2018/10/08 04:10:00",1,QLD1,0,51.42635,0,51.42635,0,0,4955.19,20.18677,5842.57,0,887.37,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,54,,,,,,,,152.67,,,,,,,,129.67,,,,,,0,9618.505,0,4957.69531,4974.52,,7,,,,125,,,,,,,,,,,,,,,,,,,2,2,0,2.12627,2.12627,0,14,14,0,14,14,0,0.03,0.03,0,0.12,0.12,0,0.2,0.2,0,14.9,14.9,0
D,DREGION,,2,"2018/10/08 04:10:00",1,SA1,0,51.48275,0,51.48275,0,0,1109.26,5.75641,1546.44,0,437.18,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2958.441,80,1128.96899,1118.51,,40,,,,0,,,,,,,,,,,,,,,,,,,2,2,0,2.12627,2.12627,0,14,14,0,14,14,0,0.03,0.03,0,0.12,0.12,0,0.2,0.2,0,14.9,14.9,0
D,DREGION,,2,"2018/10/08 04:10:00",1,TAS1,0,60.40338,0,60.40338,0,0,984.33,0.60886,719.11,0,-265.23,0,,,59.06,,,,,,,,70.59,,,,,,,,0,,,,,,,,41.81,,,,,,,,76.08,,,,,,,,60.87,,,,,,0,1928.465,0,983.7229,984.33,,43,,,,20,,,,,,,,,,,,,,,,,,,104.18886,104.18886,0,4.95,4.95,0,14,14,0,14,14,0,0.03,0.03,0,0.12,0.12,0,0.2,0.2,0,14.9,14.9,0
D,DREGION,,2,"2018/10/08 04:10:00",1,VIC1,0,57.95425,0,57.95425,0,0,3918.9,-6.24756,4103.15,0,184.24,0,,,128.28,,,,,,,,55,,,,,,,,15,,,,,,,,63,,,,,,,,51,,,,,,,,51,,,,,,0,7802.14635,0,3954.39453,3948.3,,0,,,,2,,,,,,,,,,,,,,,,,,,2,2,0,2.12627,2.12627,0,14,14,0,14,14,0,0.03,0.03,0,0.12,0.12,0,0.2,0.2,0,14.9,14.9,0
