C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/06/12,04:05:28,0000000295732651,,0000000295732645
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/06/11 04:05:00",1,NSW1,0,42.74338,0,42.74338,0,0,6187.73,-14.92432,4699.7,120,-1608.03,0,,,67.47,,,,,,,,87,,,,,,,,47,,,,,,,,259,,,,,,,,177.26,,,,,,,,248.01,,,,,,0.26606,10262.59111,120,6388.84961,6370.38,,21.89,,,,35.51,,,,,,,,,,,,,,,,,,,13.4,13.4,0,10,10,0,26.87,26.87,0,26.87,26.87,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,20.25662,20.25662,0
D,DREGION,,2,"2018/06/11 04:05:00",1,QLD1,0,37.89952,0,37.89952,0,0,5125.26,-4.78174,5941.61,0,816.35,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,34,,,,,,,,70.65,,,,,,,,36.65,,,,,,-20.72227,10028.148,240,5167.29492,5140.58,,30,,,,48.4,,,,,,,,,,,,,,,,,,,13.4,13.4,0,10,10,0,26.87,26.87,0,26.87,26.87,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,20.25662,20.25662,0
D,DREGION,,2,"2018/06/11 04:05:00",1,SA1,0,33.51189,0,33.51189,0,0,890.14,1.77599,1273.39,0,383.24,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,-7.57124,2762.455,80,907.74329,897.17,,40,,,,0,,,,,,,,,,,,,,,,,,,13.4,13.4,0,10,10,0,26.87,26.87,0,26.87,26.87,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,20.25662,20.25662,0
D,DREGION,,2,"2018/06/11 04:05:00",1,TAS1,0,74.51673,0,74.51673,0,0,1058.89,2.11081,605,0,-453.89,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,153.54,,,,,,,,156.76,,,,,,,,35,,,,,,2.66827,2126.631,0,1054.10901,1058.89,,24.11,,,,46.09,,,,,,,,,,,,,,,,,,,20.9,20.9,0,10,10,0,26.87,26.87,0,26.87,26.87,0,0,0,0,0,0,0,0,0,0,3,3,0
D,DREGION,,2,"2018/06/11 04:05:00",1,VIC1,0,36.00019,0,36.00019,0,0,3944.35,-7.17578,4924.64,0,980.29,0,,,190,,,,,,,,116.94,,,,,,,,44.78,,,,,,,,58,,,,,,,,38,,,,,,,,79,,,,,,8.74555,8701.11,0,3974.50439,3977.33,,4,,,,0,,,,,,,,,,,,,,,,,,,13.4,13.4,0,10,10,0,26.87,26.87,0,26.87,26.87,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,20.25662,20.25662,0
D,DREGION,,2,"2018/06/11 04:10:00",1,NSW1,0,47.60431,0,47.60431,0,0,6195.07,-18.61475,4701.73,120,-1613.34,0,,,67.87,,,,,,,,87,,,,,,,,47,,,,,,,,259,,,,,,,,177.26,,,,,,,,242.93,,,,,,0,10263.032,120,6398.48584,6379.04,,23,,,,47.04,,,,,,,,,,,,,,,,,,,13.4,13.4,0,10,10,0,23,23,0,24.97,24.97,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,18,18,0
D,DREGION,,2,"2018/06/11 04:10:00",1,QLD1,0,42.23007,0,42.23007,0,0,5186.77,-21.59326,5971.68,0,784.92,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,34,,,,,,,,74.03,,,,,,,,40.03,,,,,,0,10028.148,240,5223.68896,5200.62,,28.46,,,,32.96,,,,,,,,,,,,,,,,,,,13.4,13.4,0,10,10,0,23,23,0,24.97,24.97,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,18,18,0
D,DREGION,,2,"2018/06/11 04:10:00",1,SA1,0,34.93241,0,34.93241,0,0,885.53,-6.89594,1273.85,0,388.31,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2770.689,80,898.5675,893.01,,40,,,,0,,,,,,,,,,,,,,,,,,,13.4,13.4,0,10,10,0,23,23,0,24.97,24.97,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,18,18,0
D,DREGION,,2,"2018/06/11 04:10:00",1,TAS1,0,70.64673,0,70.64673,0,0,1055.61,2.04611,602.15,0,-453.46,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,113.71,,,,,,,,151.68,,,,,,,,35,,,,,,1.3952,2127.845,0,1052.16663,1055.61,,24.54,,,,88.72,,,,,,,,,,,,,,,,,,,20.9,20.9,0,10,10,0,23,23,0,23,23,0,0,0,0,0,0,0,0,0,0,3,3,0
D,DREGION,,2,"2018/06/11 04:10:00",1,VIC1,0,36.00036,0,36.00036,0,0,3951.04,-7.20044,4965.87,0,1014.83,0,,,190,,,,,,,,116.22,,,,,,,,43.36,,,,,,,,58,,,,,,,,38,,,,,,,,79,,,,,,15.50872,8696.605,0,3972.56616,3987.01,,4,,,,0,,,,,,,,,,,,,,,,,,,13.4,13.4,0,10,10,0,23,23,0,24.97,24.97,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,18,18,0
