C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/08/03,04:05:37,0000000297635463,,0000000297635457
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/08/02 04:05:00",1,NSW1,0,63.01,0,63.01,0,0,6971.86,-5.61816,5743.79,40,-1268.06,0,,,68,,,,,,,,12,,,,,,,,12,,,,,,,,375,,,,,,,,234.85,,,,,,,,205.6,,,,,,8.37841,10685.094,40,7056.43018,7059.83,,38.5,,,,44.37,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.48962,14.48962,0,14.48962,14.48962,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,14.95,14.95,0
D,DREGION,,2,"2018/08/02 04:05:00",1,QLD1,0,62.15996,0,62.15996,0,0,5333.17,6.33154,5694.15,240,120.98,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,35,,,,,,,,93,,,,,,,,114,,,,,,4.75311,9939.28665,480,5561.29346,5573.15,,27.5,,,,83.4,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.48962,14.48962,0,14.48962,14.48962,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,14.95,14.95,0
D,DREGION,,2,"2018/08/02 04:05:00",1,SA1,0,12.87929,0,12.87929,0,0,963.85,-3.58,1262.66,40,258.81,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,7.61571,2729.83,80,1006.53973,1006.78,,0,,,,14,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.48962,14.48962,0,14.48962,14.48962,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,14.95,14.95,0
D,DREGION,,2,"2018/08/02 04:05:00",1,TAS1,0,14.29,0,14.29,0,0,1192.53,1.66064,1534.6,0,342.07,0,,,178.14,,,,,,,,140.36,,,,,,,,13.3,,,,,,,,0,,,,,,,,31.59,,,,,,,,12.7,,,,,,4.20837,2308.38,0,1194.37109,1202.68,,50,,,,0,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.48962,14.48962,0,14.48962,14.48962,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,8.9,8.9,0
D,DREGION,,2,"2018/08/02 04:05:00",1,VIC1,0,24.44646,0,24.44646,0,0,4332.94,-1.91064,4976.19,0,643.24,0,,,15,,,,,,,,15,,,,,,,,15,,,,,,,,69,,,,,,,,51.86,,,,,,,,35,,,,,,34.59924,8657.60207,0,4341.80518,4368.94,,4,,,,4,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.48962,14.48962,0,14.48962,14.48962,0,0.02,0.02,0,0.03,0.03,0,0.06,0.06,0,14.95,14.95,0
D,DREGION,,2,"2018/08/02 04:05:00",1,NSW1,1,63.01,0,63.01,0,0,6971.86,-5.61816,5810.43,40,-1201.42,0,,,98,,,,,,,,29.28,,,,,,,,12,,,,,,,,382.34,,,,,,,,234.85,,,,,,,,205.6,,,,,,8.37841,10685.094,40,7056.43018,7052.93,,38.5,,,,51,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.49,14.49,0,14.49,14.49,0,0.02,0.02,0,0.07,0.07,0,0.19,0.19,0,9.99,9.99,0
D,DREGION,,2,"2018/08/02 04:05:00",1,QLD1,1,62.15997,0,62.15997,0,0,5333.17,6.33154,5694.15,240,120.98,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,30,,,,,,,,83,,,,,,,,114,,,,,,4.75311,9939.28665,480,5561.29346,5573.15,,30.03,,,,74.73,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.49,14.49,0,14.49,14.49,0,0.02,0.02,0,0.07,0.07,0,0.19,0.19,0,9.99,9.99,0
D,DREGION,,2,"2018/08/02 04:05:00",1,SA1,1,7.94836,0,7.94836,0,0,963.85,-3.58,1320.23,40,316.39,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,7.61571,2729.83,80,1006.53973,1007.96,,0,,,,14,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.49,14.49,0,14.49,14.49,0,0.02,0.02,0,0.07,0.07,0,0.19,0.19,0,9.99,9.99,0
D,DREGION,,2,"2018/08/02 04:05:00",1,TAS1,1,9.69429,0,9.69429,0,0,1192.53,1.66064,1379.28,0,186.75,0,,,38.26,,,,,,,,83.08,,,,,,,,13.3,,,,,,,,0,,,,,,,,41.89,,,,,,,,13,,,,,,4.20837,2308.38,0,1194.37109,1195.33,,50,,,,0,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.49,14.49,0,14.49,14.49,0,0.02,0.02,0,0.03,0.03,0,0.19,0.19,0,9.03087,9.03087,0
D,DREGION,,2,"2018/08/02 04:05:00",1,VIC1,1,30.67563,0,30.67563,0,0,4332.94,-1.91064,4992.3,0,659.36,0,,,124.88,,,,,,,,55,,,,,,,,15,,,,,,,,69,,,,,,,,51.86,,,,,,,,35,,,,,,34.59924,8657.60207,0,4341.80518,4367.03,,1.47,,,,4,,,,,,,,,,,,,,,,,,,1.45,1.45,0,4.95,4.95,0,14.49,14.49,0,14.49,14.49,0,0.02,0.02,0,0.07,0.07,0,0.19,0.19,0,9.99,9.99,0
