C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/10/11,04:05:28,0000000299929972,,0000000299929966
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/10/10 04:05:00",1,NSW1,0,59.56,0,59.56,0,0,6154.99,29.29492,5409.43,120,-865.56,0,,,89.21,,,,,,,,101,,,,,,,,55,,,,,,,,269,,,,,,,,155,,,,,,,,175.95,,,,,,28.63702,10798.85884,120,6243.66455,6302.79,,33,,,,47,,,,,,,,,,,,,,,,,,,5,5,0,9.41,9.41,0,14.4,14.4,0,14.4,14.4,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,14,14,0
D,DREGION,,2,"2018/10/10 04:05:00",1,QLD1,0,59.69,0,59.69,0,0,5116.62,9.9563,5372.55,245,10.92,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,55,,,,,,,,156.08,,,,,,,,129.08,,,,,,3.78473,9057.579,245,5344.12256,5361.55,,47,,,,113.1,,,,,,,,,,,,,,,,,,,5,5,0,9.41,9.41,0,14.4,14.4,0,14.4,14.4,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,14,14,0
D,DREGION,,2,"2018/10/10 04:05:00",1,SA1,0,40.4133,0,40.4133,0,0,962.92,2.70704,1363.43,0,400.51,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2717.426,80,973.14014,973.34,,40,,,,0,,,,,,,,,,,,,,,,,,,5,5,0,9.41,9.41,0,14.4,14.4,0,14.4,14.4,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,14,14,0
D,DREGION,,2,"2018/10/10 04:05:00",1,TAS1,0,50.31,0,50.31,0,0,1087.2,2.75894,609.2,0,-478,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,42.63,,,,,,,,81.62,,,,,,,,35,,,,,,4.31914,1909.502,0,1080.12549,1087.2,,0,,,,50,,,,,,,,,,,,,,,,,,,9.95,9.95,0,9.41,9.41,0,14.4,14.4,0,14.85,14.85,0,0,0,0,0,0,0,0,0,0,13.55,13.55,0
D,DREGION,,2,"2018/10/10 04:05:00",1,VIC1,0,39.80424,0,39.80424,0,0,3777.55,17.73047,4803.08,0,1025.53,0,,,180,,,,,,,,137.75,,,,,,,,59.38,,,,,,,,57,,,,,,,,48,,,,,,,,56.67,,,,,,7.18275,8276.07656,0,3808.43604,3832.81,,0,,,,0,,,,,,,,,,,,,,,,,,,5,5,0,9.41,9.41,0,14.4,14.4,0,14.4,14.4,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,14,14,0
D,DREGION,,2,"2018/10/10 04:10:00",1,NSW1,0,59.56,0,59.56,0,0,6229.84,32.75781,5509.11,120,-840.72,0,,,77.27,,,,,,,,101,,,,,,,,55,,,,,,,,269,,,,,,,,155,,,,,,,,171.66,,,,,,38.22333,10789.21809,120,6304.18604,6375.02,,27,,,,47,,,,,,,,,,,,,,,,,,,4.6,4.6,0,5.49,5.49,0,14.4,14.4,0,14.4,14.4,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,13,13,0
D,DREGION,,2,"2018/10/10 04:10:00",1,QLD1,0,59.69,0,59.69,0,0,5094.96,-10.62744,5350.89,245,10.92,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,55,,,,,,,,156.75,,,,,,,,129.75,,,,,,-1.44212,9059.191,245,5347.56299,5339.89,,75,,,,120,,,,,,,,,,,,,,,,,,,4.6,4.6,0,5.49,5.49,0,14.4,14.4,0,14.4,14.4,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,13,13,0
D,DREGION,,2,"2018/10/10 04:10:00",1,SA1,0,41.49822,0,41.49822,0,0,967.1,7.34467,1375.3,0,408.2,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,-8.41847,2729.299,80,996.76227,975.66,,18,,,,0,,,,,,,,,,,,,,,,,,,4.6,4.6,0,5.49,5.49,0,14.4,14.4,0,14.4,14.4,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,13,13,0
D,DREGION,,2,"2018/10/10 04:10:00",1,TAS1,0,51.37464,0,51.37464,0,0,1090.77,1.24661,622.88,0,-467.89,0,,,6.62,,,,,,,,0,,,,,,,,0,,,,,,,,43.81,,,,,,,,81.62,,,,,,,,35,,,,,,4.16337,1907.979,0,1085.36353,1090.77,,0,,,,39.89,,,,,,,,,,,,,,,,,,,9.95,9.95,0,5.49,5.49,0,14.4,14.4,0,14.85,14.85,0,0,0,0,0,0,0,0.06,0.06,0,12.61,12.61,0
D,DREGION,,2,"2018/10/10 04:10:00",1,VIC1,0,42.33405,0,42.33405,0,0,3844.98,4.60352,4818.73,0,973.76,0,,,180,,,,,,,,123.84,,,,,,,,47.14,,,,,,,,57,,,,,,,,43.7,,,,,,,,56.67,,,,,,22.45862,8291.73488,0,3868.53003,3895.57,,0,,,,0,,,,,,,,,,,,,,,,,,,4.6,4.6,0,5.49,5.49,0,14.4,14.4,0,14.4,14.4,0,0.13,0.13,0,0.19,0.19,0,0.45,0.45,0,13,13,0
