,b_fcas_power,b_fcas_price,b_fcas_type,b_fcas_actor_power,b_fcas_actor_price,b_en_actor_power,b_en_power_gen,b_en_power_load,b_en_price,b_en_type,b_fcas_cleared_power,fcas_clearing_price,en_price,r,current_state_value,next_state_value,fcas_demand,soe,timestamp,k,delta
0,46.05535,41.0,gen,3.8741648,-0.3142834,2.030499,0,300.0,54.9,load,-9.999650547903052,41.0,54.9,-16101.012894782378,-160.96597290039062,-15.090667724609375,41.0,0,2018-06-01 04:30:00,0,-16112.47
1,66.31312,41.0,gen,1.6653011,-1.0746485,13.283922,0,300.0,56.19,load,-9.999650547903052,41.0,56.19,-16488.012894782376,-293.5723876953125,-160.96597290039062,41.0,295.0001747260485,2018-06-01 05:00:00,0,-16479.965
2,122.000725,41.0,gen,5.804046,3.8316333,44.470318,0,300.0,58.73,load,-9.999650547903052,41.0,58.73,-178250.36234687938,-2017.2142333984375,-293.5723876953125,41.0,590.000349452097,2018-06-01 05:30:00,0,-178235.67
3,200.0,41.67,gen,15.012062,17.090618,93.441826,0,243.99948,62.98,load,-10.66964940327831,41.66999816894531,62.98,-264301.24938487285,-4255.7744140625,-2017.2142333984375,41.67,885.0005241781455,2018-06-01 06:00:00,0,-264200.38
4,200.0,47.67,gen,44.327183,32.088036,136.42435,0,100.0,74.24,load,-16.668212901098887,47.66999816894531,74.24,-115042.9901399219,-4552.9208984375,-4255.7744140625,47.67,1029,2018-06-01 06:30:00,0,-114830.2
5,200.0,75.59,gen,89.18422,35.859577,136.20636,-300.0,0,229.57,gen,-0.0004458630293953896,70.0,229.57,68871.03033250629,-2951.34912109375,-4552.9208984375,75.59,1029,2018-06-01 07:00:00,0,69098.68
6,200.0,62.14,gen,60.783527,17.751719,67.9715,-228.99977,0,104.33,gen,-31.141269900726574,62.13999938964844,104.33,25633.15276411968,-2103.27197265625,-2951.34912109375,62.14,728.9997770684853,2018-06-01 07:30:00,0,25780.72
7,200.0,81.0,gen,51.652092,12.308722,42.387577,-300.0,0,112.42,gen,0.0006464594533525791,70.0,112.42,-81844.67612693619,-2500.012939453125,-2103.27197265625,81.0,484.42937099995794,2018-06-01 08:00:00,0,-81739.516
8,200.0,81.0,gen,33.674698,6.292669,19.2929,-84.429695,0,103.99,gen,0.0006464594533525791,70.0,103.99,8779.796869611588,-1910.9622802734375,-2500.012939453125,81.0,184.42969422968463,2018-06-01 08:30:00,0,8904.798
9,200.0,78.92,gen,28.86412,5.3631,14.835064,0,300.0,94.0,load,-0.00023239433005263358,70.0,94.0,-28199.983493495907,-1809.8143310546875,-1910.9622802734375,78.92,100.00032233001677,2018-06-01 09:00:00,0,-28104.436
