,soe,power_cleared,price_bid,reward,done,time_step,power_bid,price_cleared,power_bid_dqn,power_bid_expert,price_bid_dqn,price_bid_expert
0,1270.964355,0,0,0,0,6/1/15 7:00,0,0,0,0,0,0
1,2260.964253,-999.9998967,40.91824228,-39954.56946,FALSE,6/1/15 8:00,-999.9998967,39.95457359,0,-999.9998967,0,40.91824228
2,2999.999877,-746.5006296,40.91824228,-28114.16578,FALSE,6/1/15 9:00,-746.5006296,37.66127538,0,-746.5006296,0,40.91824228
3,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 10:00,-1.94E-05,36.52168234,0,-1.94E-05,0,40.91824228
4,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 11:00,-1.94E-05,36.1180169,0,-1.94E-05,0,40.91824228
5,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 12:00,-1.94E-05,37.28878098,0,-1.94E-05,0,40.91824228
6,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 13:00,-1.94E-05,41.41548239,0,-1.94E-05,0,40.91824228
7,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 14:00,-1.94E-05,45.95698734,0,-1.94E-05,0,40.91824228
8,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 15:00,-1.94E-05,43.03235821,0,-1.94E-05,0,40.91824228
9,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 16:00,-1.94E-05,36.0161938,0,-1.94E-05,0,40.91824228
10,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 17:00,-1.94E-05,34.72265451,0,-1.94E-05,0,40.91824228
11,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 18:00,-1.94E-05,36.8438562,0,-1.94E-05,0,40.91824228
12,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 19:00,-1.94E-05,38.99208293,0,-1.94E-05,0,40.91824228
13,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 20:00,-1.94E-05,40.91824228,0,-1.94E-05,0,40.91824228
14,2999.999877,-1.94E-05,40.91824228,-50,FALSE,6/1/15 21:00,-1.94E-05,43.74069201,0,-1.94E-05,0,40.91824228
15,2999.999877,-7.68E-05,43.74069201,-50,FALSE,6/1/15 22:00,-7.68E-05,47.14647413,0,-7.68E-05,0,43.74069201
16,2999.999877,-6.47E-05,47.14647413,-50,FALSE,6/1/15 23:00,-6.47E-05,51.59990668,0,-6.47E-05,0,47.14647413
17,2999.999877,-6.01E-05,51.59990668,-50,FALSE,6/2/15 0:00,-6.01E-05,57.6028587,0,-6.01E-05,0,51.59990668
18,2999.999877,-0.00010129,57.6028587,-50,FALSE,6/2/15 1:00,-0.00010129,69.14348293,0,-0.00010129,0,57.6028587
19,2970.095017,30.20692845,69.14348293,2088.612242,FALSE,6/2/15 2:00,30.30293559,83.58016732,0,30.30293559,0,69.14348293
20,2970.095017,-0.262408565,92.39776815,-50,FALSE,6/2/15 3:00,999.9999862,87.29915538,0,999.9999862,0,92.39776815
21,2970.095017,-0.001909621,94.40646989,-50,FALSE,6/2/15 4:00,999.9999943,62.35736856,0,999.9999943,0,94.40646989
22,2970.095017,-0.215948601,71.09117523,-50,FALSE,6/2/15 5:00,999.9999972,48.76354394,0,999.9999972,0,71.09117523
23,2970.095017,0.395455446,56.51289321,-50,FALSE,6/2/15 6:00,999.9999978,40.26981785,0,999.9999978,0,56.51289321
24,2970.095017,0.881951799,47.80874098,-50,FALSE,6/2/15 7:00,999.9997962,33.93827445,0,999.9997962,0,47.80874098
25,2970.095017,0.118244921,43.24032478,-50,FALSE,6/2/15 8:00,999.9995525,33.18076448,0,999.9995525,0,43.24032478
26,2970.095017,0.484898839,39.95457359,-50,FALSE,6/2/15 9:00,999.9999775,24.96543955,0,999.9999775,0,39.95457359
27,2970.095017,0.488524117,37.66127538,-50,FALSE,6/2/15 10:00,999.9998875,26.04116873,0,999.9998875,0,37.66127538
28,2970.095017,-0.121871254,36.52168234,-50,FALSE,6/2/15 11:00,969.7926024,22.888269,0,969.7926024,0,36.52168234
29,2999.999923,-30.20697494,36.1180169,-1126.381273,FALSE,6/2/15 12:00,-30.20697494,37.28878098,0,-30.20697494,0,36.1180169
30,2999.999923,-0.062843359,37.28878098,-50,FALSE,6/2/15 13:00,0.000185055,30.32823003,0,0.000185055,0,37.28878098
31,2999.999923,0.159539536,41.41548239,-50,FALSE,6/2/15 14:00,999.9999133,33.96071689,0,999.9999133,0,41.41548239
32,2999.999923,0.257398737,45.95698734,-50,FALSE,6/2/15 15:00,999.9999834,32.38400778,0,999.9999834,0,45.95698734
33,2999.999923,0.155989767,43.03235821,-50,FALSE,6/2/15 16:00,999.9997008,26.62008609,0,999.9997008,0,43.03235821
34,2999.999923,0.282738029,36.0161938,-50,FALSE,6/2/15 17:00,999.999713,23.27141697,0,999.999713,0,36.0161938
35,2999.999923,-3.60E-05,34.72265451,-50,FALSE,6/2/15 18:00,-3.60E-05,36.8438562,0,-3.60E-05,0,34.72265451
36,2999.999923,-5.06E-05,36.8438562,-50,FALSE,6/2/15 19:00,-5.06E-05,38.99208293,0,-5.06E-05,0,36.8438562
